_id,columnName,oldValue,newValue,oid,dimensionName,datasetName
ObjectId(5dd45988760b2a326c3a6993),Function,Human Services,,15818,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a6994),Function,Education,,13325,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a6995),Function,Administration and Regulation,,8886,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a6996),Function,Justice System,,10410,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a6997),Function,Agriculture and Natural Resources,,13031,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a6998),Function,Human Services,,14655,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a6999),Function,Capital,,9027,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a699a),Function,Agriculture and Natural Resources,,8340,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a699b),Function,Agriculture and Natural Resources,,11578,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a699c),Function,Administration and Regulation,,8912,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a699d),Function,Justice System,,2793,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a699e),Function,Human Services,,581,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a699f),Function,Agriculture and Natural Resources,,12911,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69a0),Function,Agriculture and Natural Resources,,12263,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69a1),Function,Justice System,,7393,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69a2),Function,Human Services,,14541,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69a3),Function,Economic Development,,5688,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69a4),Function,Administration and Regulation,,18527,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69a5),Function,Economic Development,,4185,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69a6),Function,Economic Development,,19980,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69a7),Function,Administration and Regulation,,18594,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69a8),Function,Administration and Regulation,,16993,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69a9),Function,Human Services,,776,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69aa),Function,Education,,13664,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69ab),Function,Economic Development,,4900,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69ac),Function,Human Services,,3263,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69ad),Function,Education,,13846,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69ae),Function,Economic Development,,19479,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69af),Function,Human Services,,322,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69b0),Function,Administration and Regulation,,18537,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69b1),Function,Education,,7856,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69b2),Function,Economic Development,,19992,Completeness,lowa_0
ObjectId(5dd45988760b2a326c3a69b3),Function,Capital,,3570,Completeness,lowa_0
