ID,PERMI,  PERMIT_TYPE
1374921,100000586,PERMIT - ELEVATOR EQUIPMENT
1377863,100001883,PERMIT - ELEVATOR EQUIPMENT
1378485,100002267,PERMIT - RENOVATION/ALTERATION
1379931,1000031g91,PERMIT - ELEVATOR EQUIPMENT
1381541,100004342,PERMIT - RENOVATION/ALTERATION
1378485,100005367,PERMIT - ELEVATOR EQUIPMENT
1383915,100005841,PERMIT - ELEVATOR EQUIPMENT
1384219,100006085,PERMIT - ELEVATOR EQUIPMENT
1389128,100007872,PERMIT - ELECTRIC WIRING
1378485,100009553,PERMIT - EASY PERMIT PROCESS
1392177,100010402,PERMIT - ELEVATOR EQUIPMENT
1392510,100010675,PERMIT - NEW CONSTRUCTION
1393557,100011516,PERMIT - PORCH CONSTRUCTION
1393747,100011654,PERMIT - NEW CONSTRUCTION
1399601,100016624,PERMIT - ELEVATOR EQUIPMENT
1401011,100017796,PERMIT - ELEVATOR EQUIPMENT
1394091,100011918,PERMIT - NEW CONSTRUCTION
1395949,100013573,PERMIT - ELEVATOR EQUIPMENT
1396539,100014046,PERMIT - NEW CONSTRUCTION
1396615,100014122,PERMIT - PORCH CONSTRUCTION
1396920,100014386,PERMIT - RENOVATION/ALTERATION
1398765,100015949,PERMIT - NEW CONSTRUCTION
1402510,100019073,PERMIT - RENOVATION/ALTERATION
1404592,100020859,PERMIT - ELEVATOR EQUIPMENT
1407132,100023079,PERMIT - NEW CONSTRUCTION
1407763,100023610,PERMIT - ELEVATOR EQUIPMENT
1408179,100023986,PERMIT - NEW CONSTRUCTION
1535969,100024416,PERMIT - NEW CONSTRUCTION
1561424,100043170,PERMIT - ELECTRIC WIRING
1537265,100025526,PERMIT - RENOVATION/ALTERATION
1539430,100026671,PERMIT - RENOVATION/ALTERATION
1541018,100026884,PERMIT - NEW CONSTRUCTION
1541775,100027555,PERMIT - RENOVATION/ALTERATION
1541913,100027653,PERMIT - PORCH CONSTRUCTION
1542134,100027838,PERMIT - PORCH CONSTRUCTION
1542417,100028077,PERMIT - RENOVATION/ALTERATION
1542506,100028151,PERMIT - ELEVATOR EQUIPMENT
1542515,100028160,PERMIT - ELEVATOR EQUIPMENT
1625821,100079574,PERMIT - ELECTRIC WIRING
1542627,100028267,PERMIT - NEW CONSTRUCTION
1543631,100029095,PERMIT - WRECKING/DEMOLITION
1543991,100029434,PERMIT - ELEVATOR EQUIPMENT
1545159,100030383,PERMIT - RENOVATION/ALTERATION
1546984,100031865,PERMIT - NEW CONSTRUCTION
1548300,100032927,PERMIT - NEW CONSTRUCTION
1549457,100033819,PERMIT - NEW CONSTRUCTION
1550547,100034722,PERMIT - ELEVATOR EQUIPMENT
1551973,100035843,PERMIT - RENOVATION/ALTERATION
1552162,100035968,PERMIT - RENOVATION/ALTERATION
1553729,100037275,PERMIT - RENOVATION/ALTERATION
1553956,100037456,PERMIT - NEW CONSTRUCTION
1554052,100037537,PERMIT - ELEVATOR EQUIPMENT
1555234,100038488,PERMIT - RENOVATION/ALTERATION
1555324,100038567,PERMIT - PORCH CONSTRUCTION
1555404,100038638,PERMIT - NEW CONSTRUCTION
1562507,100043953,PERMIT - ELEVATOR EQUIPMENT
1574480,100051738,PERMIT - EASY PERMIT PROCESS
1556100,100039182,PERMIT - NEW CONSTRUCTION
1557143,100039952,PERMIT - ELEVATOR EQUIPMENT
1558511,100041008,PERMIT - WRECKING/DEMOLITION
1558514,100041011,PERMIT - PORCH CONSTRUCTION
1558517,100041014,PERMIT - RENOVATION/ALTERATION
1558626,100041089,PERMIT - RENOVATION/ALTERATION
1559689,100041848,PERMIT - RENOVATION/ALTERATION
1560590,100042526,PERMIT - ELEVATOR EQUIPMENT
1561563,100043257,PERMIT - NEW CONSTRUCTION
1561661,100043335,PERMIT - NEW CONSTRUCTION
