_id,columnName,oldValue,newValue,oid,dimensionName,datasetName
ObjectId(5dd31db2760b2a21b4c49408),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,17008,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49409),PERMIT_TYPE,PERMIT - WRECKING/DEMOLITION,,15215,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4940a),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,8653,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4940b),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,4412,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4940c),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,15772,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4940d),PERMIT_TYPE,PERMIT - NEW CONSTRUCTION,,14080,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4940e),PERMIT_TYPE,PERMIT - RENOVATION/ALTERATION,,734,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4940f),PERMIT_TYPE,PERMIT - NEW CONSTRUCTION,,945,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49410),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,11398,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49411),PERMIT_TYPE,PERMIT - RENOVATION/ALTERATION,,979,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49412),PERMIT_TYPE,PERMIT - RENOVATION/ALTERATION,,5251,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49413),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,7513,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49414),PERMIT_TYPE,PERMIT - RENOVATION/ALTERATION,,13600,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49415),PERMIT_TYPE,PERMIT - NEW CONSTRUCTION,,2320,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49416),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,6215,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49417),PERMIT_TYPE,PERMIT-PORCHCONSTRUCTION,,6580,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49418),PERMIT_TYPE,PERMIT - EASY PERMIT PROCESS,,13014,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49419),PERMIT_TYPE,PERMIT - EASY PERMIT PROCESS,,4602,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4941a),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,11152,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4941b),PERMIT_TYPE,PERMIT - EASY PERMIT PROCESS,,4482,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4941c),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,11611,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4941d),PERMIT_TYPE,PERMIT - EASY PERMIT PROCESS,,17351,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4941e),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,10769,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4941f),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,11386,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49420),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,15813,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49421),PERMIT_TYPE,PERMIT - NEW CONSTRUCTION,,1275,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49422),PERMIT_TYPE,PERMIT - EASY PERMIT PROCESS,,12206,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49423),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,4256,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49424),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,16791,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49425),PERMIT_TYPE,PERMIT - EASY PERMIT PROCESS,,12969,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49426),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,650,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49427),PERMIT_TYPE,PERMIT - SCAFFOLDING,,17199,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49428),PERMIT_TYPE,PERMIT - EASY PERMIT PROCESS,,13293,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c49429),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,18847,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4942a),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,3550,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4942b),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,1845,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4942c),PERMIT_TYPE,PERMIT - ELECTRIC WIRING,,15894,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4942d),PERMIT_TYPE,PERMIT - EASY PERMIT PROCESS,,13656,Completeness,permit_0
ObjectId(5dd31db2760b2a21b4c4942e),PERMIT_TYPE,PERMIT - SIGNS,,6170,Completeness,permit_0
