Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Papua New Guinea,Fruits,Online,L,708790957,5850,9.33,-852146,54580.5,40482,14098.5
Australia and Oceania,New Zealand,Beverages,Online,H,882538020,1467,47.45,-852146,69609.15,46635.93,22973.22
Middle East and North Africa,Iran,Cosmetics,Offline,L,619532191,2198,437.2,-852146,960965.6,578799.34,382166.26
Central America and the Caribbean,Barbados,Meat,Online,L,373985183,9381,421.89,-852146,3957750.09,3421156.89,536593.2
Sub-Saharan Africa,Madagascar,Personal Care,Online,M,117717492,4077,81.73,-96512,333213.21,231043.59,102169.62
Central America and the Caribbean,Guatemala,Snacks,Offline,C,329980218,7334,152.58,-96512,1119021.72,714624.96,404396.76
Middle East and North Africa,Egypt,Cereal,Offline,H,326459443,5459,205.7,-96512,1122916.3,639303.49,483612.81
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Offline,C,854547345,8404,437.2,-96512,3674228.8,2213025.32,1461203.48
Sub-Saharan Africa,Burkina Faso,Snacks,Online,M,353004729,799,152.58,-9632,121911.42,77854.56,44056.86
Central America and the Caribbean,Dominican Republic,Meat,Online,H,926703917,1137,421.89,-9632,479688.93,414652.53,65036.4
Middle East and North Africa,Egypt,Household,Offline,C,324163043,5903,668.27,-9632,3944797.81,2966493.62,978304.19
Sub-Saharan Africa,Ghana,Cosmetics,Offline,L,935439765,6269,437.2,-9632,2740806.8,1650815.77,1089991.03
Sub-Saharan Africa,Guinea-Bissau,Beverages,Offline,C,284684789,3410,47.45,-8563,161804.5,108403.9,53400.6
Europe,Germany,Meat,Offline,C,318850553,3819,421.89,-8563,1611197.91,1392751.11,218446.8
Central America and the Caribbean,Cuba,Meat,Offline,L,318857419,5851,421.89,-8563,2468478.39,2133801.19,334677.2
Sub-Saharan Africa,Benin,Meat,Offline,C,179465806,6775,421.89,-8563,2858304.75,2470774.75,387530
Middle East and North Africa,Qatar,Fruits,Online,H,822855222,1,9.33,6.92,9.33,6.92,2.41
Europe,Monaco,Fruits,Offline,C,700491988,1,9.33,6.92,9.33,6.92,2.41
Asia,Bhutan,Fruits,Online,M,657034623,1,9.33,6.92,9.33,6.92,2.41
Middle East and North Africa,Tunisia ,Fruits,Online,M,211039054,1,9.33,6.92,9.33,6.92,2.41
Central America and the Caribbean,Honduras,Fruits,Online,M,289944922,1,9.33,6.92,9.33,6.92,2.41
Sub-Saharan Africa,Mozambique,Fruits,Online,C,737123239,2,9.33,6.92,18.66,13.84,4.82
Sub-Saharan Africa,Seychelles ,Fruits,Online,H,413490903,2,9.33,6.92,18.66,13.84,4.82
Sub-Saharan Africa,Angola,Fruits,Offline,M,535854136,2,9.33,6.92,18.66,13.84,4.82
Europe,Poland,Fruits,Online,C,658217370,2,9.33,6.92,18.66,13.84,4.82
Asia,India,Fruits,Offline,M,614760005,2,9.33,6.92,18.66,13.84,4.82
Asia,Laos,Fruits,Online,L,291127669,2,9.33,6.92,18.66,13.84,4.82
Middle East and North Africa,Tunisia ,Fruits,Offline,H,780580604,2,9.33,6.92,18.66,13.84,4.82
Sub-Saharan Africa,Sierra Leone,Fruits,Offline,C,983032453,3,9.33,6.92,27.99,20.76,7.23
Central America and the Caribbean,Saint Lucia,Fruits,Offline,H,817211854,3,9.33,6.92,27.99,20.76,7.23
Sub-Saharan Africa,Burundi,Fruits,Online,M,493579518,3,9.33,6.92,27.99,20.76,7.23
