_id,columnName,oldValue,newValue,oid,dimensionName,datasetName
ObjectId(5dd192e7824bbc0d10cfe957),Total Revenue,13845.72,,6238,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe958),Total Revenue,26077.35,,11819,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe959),Total Revenue,41910.36,,18845,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe95a),Total Revenue,8238.39,,3773,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe95b),Total Revenue,41443.86,,18634,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe95c),Total Revenue,10748.16,,4869,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe95d),Total Revenue,2537.76,,1172,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe95e),Total Revenue,31722,,14303,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe95f),Total Revenue,34101.15,,15341,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe960),Total Revenue,39736.47,,17840,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe961),Total Revenue,9525.93,,4317,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe962),Total Revenue,6978.84,,3203,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe963),Total Revenue,5196.81,,2408,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe964),Total Revenue,28689.75,,12973,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe965),Total Revenue,30602.4,,13783,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe966),Total Revenue,4916.91,,2272,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe967),Total Revenue,32804.28,,14747,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe968),Total Revenue,38971.41,,17510,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe969),Total Revenue,15133.26,,6815,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe96a),Total Revenue,8341.02,,3815,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe96b),Total Revenue,21682.92,,9773,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe96c),Total Revenue,5859.24,,2688,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe96d),Total Revenue,8341.02,,3816,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe96e),Total Revenue,34782.24,,15634,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe96f),Total Revenue,18.66,,26,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe970),Total Revenue,18604.02,,8380,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe971),Total Revenue,35659.26,,16036,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe972),Total Revenue,33578.67,,15094,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe973),Total Revenue,33615.99,,15109,Completeness,sales_0
ObjectId(5dd192e9824bbc0d10cfe974),Total Revenue,13612.47,,6141,Completeness,sales_0
