_id,columnName,oldValue,newValue,oid,dimensionName,datasetName
ObjectId(5dd188ab824bbc0d10cfe567),availability_365,0,,17769,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe568),availability_365,0,,7659,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe569),availability_365,93,,15757,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe56a),availability_365,158,,965,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe56b),availability_365,0,,15343,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe56c),availability_365,310,,128,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe56d),availability_365,360,,9998,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe56e),availability_365,0,,18300,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe56f),availability_365,52,,7008,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe570),availability_365,2,,9903,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe571),availability_365,0,,14075,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe572),availability_365,265,,6179,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe573),availability_365,0,,8386,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe574),availability_365,0,,6286,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe575),availability_365,0,,7539,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe576),availability_365,0,,19319,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe577),availability_365,0,,5722,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe578),availability_365,0,,12254,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe579),availability_365,242,,4750,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe57a),availability_365,0,,12047,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe57b),availability_365,80,,4757,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe57c),availability_365,0,,14654,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe57d),availability_365,0,,13735,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe57e),availability_365,35,,6623,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe57f),availability_365,311,,16383,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe580),availability_365,233,,182,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe581),availability_365,0,,9287,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe582),availability_365,172,,17867,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe583),availability_365,0,,14621,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe584),availability_365,0,,10435,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe585),availability_365,364,,5638,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe586),availability_365,35,,296,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe587),availability_365,326,,18676,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe588),availability_365,226,,12428,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe589),availability_365,358,,17215,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe58a),availability_365,0,,19466,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe58b),availability_365,15,,4387,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe58c),availability_365,323,,16571,Completeness,stay_0
ObjectId(5dd188ac824bbc0d10cfe58d),availability_365,98,,18920,Completeness,stay_0
