_id,columnName,oldValue,newValue,oid,dimensionName,datasetName
ObjectId(5dd09eedf712fc3690a04ad3),Year,2014,,16274,Completeness,survey_0
ObjectId(5dd09eeff712fc3690a04ad4),Year,2014,,17876,Completeness,survey_0
ObjectId(5dd09eeff712fc3690a04ad5),Year,2015,,12014,Completeness,survey_0
ObjectId(5dd09eeff712fc3690a04ad6),Year,2015,,13795,Completeness,survey_0
ObjectId(5dd09eeff712fc3690a04ad7),Year,2013,,18788,Completeness,survey_0
ObjectId(5dd09eeff712fc3690a04ad8),Year,2017,,355,Completeness,survey_0
ObjectId(5dd09eeff712fc3690a04ad9),Year,2016,,7272,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ada),Year,2014,,14775,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04adb),Year,2015,,10891,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04adc),Year,2016,,8709,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04add),Year,2017,,306,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ade),Year,2016,,4861,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04adf),Year,2015,,12190,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ae0),Year,2017,,2723,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ae1),Year,2013,,19991,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ae2),Year,2015,,10803,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ae3),Year,2016,,8011,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ae4),Year,2014,,18266,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ae5),Year,2014,,14792,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ae6),Year,2015,,10330,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ae7),Year,2017,,3215,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ae8),Year,2017,,697,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04ae9),Year,2015,,12175,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04aea),Year,2016,,8123,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04aeb),Year,2016,,5116,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04aec),Year,2017,,1381,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04aed),Year,2015,,9967,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04aee),Year,2017,,307,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04aef),Year,2017,,3243,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04af0),Year,2014,,17512,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04af1),Year,2014,,14490,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04af2),Year,2014,,14949,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04af3),Year,2016,,8203,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04af4),Year,2016,,9068,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04af5),Year,2015,,13405,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04af6),Year,2016,,8280,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04af7),Year,2014,,16811,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04af8),Year,2017,,2799,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04af9),Year,2016,,7778,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04afa),Year,2015,,11381,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04afb),Year,2015,,11120,Completeness,survey_0
ObjectId(5dd09ef0f712fc3690a04afc),Year,2017,,3273,Completeness,survey_0
ObjectId(5dd09ef1f712fc3690a04afd),Year,2014,,15378,Completeness,survey_0
ObjectId(5dd09ef1f712fc3690a04afe),Year,2014,,14354,Completeness,survey_0
ObjectId(5dd09ef1f712fc3690a04aff),Year,2013,,19500,Completeness,survey_0
ObjectId(5dd09ef1f712fc3690a04b00),Year,2015,,13159,Completeness,survey_0
