Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,WindGustDir,WindGustSpeed,WindDir9am,WindSpeed9am,Humidity9am,Pressure9am,Cloud9am,Temp9am,RainToday,RISK_MM,RainTomorrow
01-01-2009,Cobar,17.9,35.2,0,12,SSW,48,ENE,6,20,1006.3,2,26.6,No,0,No
02-01-2009,Cobar,18.4,28.9,0,14.8,S,37,SSE,19,30,1012.9,1,20.3,No,0,No
03-01-2009,Cobar,15.5,34.1,0,12.6,SE,30,NA,NA,NA,NA,NA,NA,No,0,No
04-01-2009,Cobar,19.4,37.6,0,10.8,NNE,46,NNE,30,42,1012.3,1,28.7,No,0,No
05-01-2009,Cobar,21.9,38.4,0,11.4,WNW,31,WNW,6,37,1012.7,1,29.1,No,0,No
06-01-2009,Cobar,24.2,41,0,11.2,WNW,35,NW,17,19,1010.7,1,33.6,No,0,No
07-01-2009,Cobar,27.1,36.1,0,13,N,43,N,7,26,1007.7,8,30.7,No,0,No
08-01-2009,Cobar,23.3,34,0,9.8,SSW,41,S,17,33,1011.3,3,25,No,0,No
09-01-2009,Cobar,16.1,34.2,0,14.6,SE,37,SE,15,25,1013.3,1,20.7,No,0,No
10-01-2009,Cobar,19,35.5,0,12,ENE,48,ENE,30,46,1008.3,1,23.4,No,0,No
11-01-2009,Cobar,19.7,35.5,0,11,NE,41,NNE,15,61,1007.9,1,24,No,0,No
12-01-2009,Cobar,20.9,37.8,0,12.8,E,30,SE,11,27,1012.6,0,29.8,No,0,No
13-01-2009,Cobar,23.9,39.1,0,13.8,ENE,39,NE,24,40,1013.6,0,29.1,No,0,No
14-01-2009,Cobar,24.9,41.2,0,14.8,SSW,43,N,17,25,1012.9,1,31.5,No,0,No
15-01-2009,Cobar,25.2,40.5,0,16.4,SW,44,W,13,24,1012.4,4,31.4,No,0,No
16-01-2009,Cobar,21.6,34.2,0,17.4,SW,44,S,17,19,1014.1,0,25,No,0,No
17-01-2009,Cobar,18.4,31.8,0,16,S,33,S,17,25,1016.3,0,19.9,No,0,No
18-01-2009,Cobar,17.9,34.2,0,12,SE,61,NE,22,46,1016.4,1,21.6,No,0,No
19-01-2009,Cobar,21.4,37.5,0,14.8,NNE,43,ENE,26,34,1013.1,7,26.2,No,4.8,Yes
20-01-2009,Cobar,23.3,39.4,4.8,12,W,59,N,19,54,1011.1,1,27,Yes,0,No
