_id,columnName,oldValue,newValue,oid,dimensionName,datasetName
ObjectId(5dd05c48f712fc21381f3b96),MinTemp,5.5,,2637,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3b97),MinTemp,16.5,,5692,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3b98),MinTemp,9.3,,6741,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3b99),MinTemp,-3.4,,8255,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3b9a),MinTemp,19.8,,6141,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3b9b),MinTemp,5.2,,8216,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3b9c),MinTemp,23.7,,3722,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3b9d),MinTemp,11.4,,819,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3b9e),MinTemp,13,,1349,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3b9f),MinTemp,9.5,,16331,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3ba0),MinTemp,7.2,,521,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3ba1),MinTemp,16.7,,303,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3ba2),MinTemp,4.9,,2252,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3ba3),MinTemp,20,,19730,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3ba4),MinTemp,7.1,,16455,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3ba5),MinTemp,19.9,,17128,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3ba6),MinTemp,2.1,,1919,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3ba7),MinTemp,15.8,,3792,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3ba8),MinTemp,-3.4,,7700,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3ba9),MinTemp,12.8,,18539,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3baa),MinTemp,8.3,,2630,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bab),MinTemp,1,,545,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bac),MinTemp,16.7,,8171,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bad),MinTemp,21.3,,4057,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bae),MinTemp,19.4,,14363,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3baf),MinTemp,12.3,,1175,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bb0),MinTemp,15.4,,17238,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bb1),MinTemp,14.4,,5356,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bb2),MinTemp,15.9,,11510,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bb3),MinTemp,9.8,,656,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bb4),MinTemp,12.6,,14345,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bb5),MinTemp,19.1,,3635,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bb6),MinTemp,18.6,,4479,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bb7),MinTemp,2.3,,16030,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bb8),MinTemp,19.8,,4749,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bb9),MinTemp,5.3,,3188,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bba),MinTemp,13.9,,11366,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bbb),MinTemp,16.9,,15061,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bbc),MinTemp,22.7,,12753,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bbd),MinTemp,11.4,,17602,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bbe),MinTemp,9.5,,1360,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bbf),MinTemp,11.6,,19987,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bc0),MinTemp,9.2,,9200,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bc1),MinTemp,10.8,,12886,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bc2),MinTemp,10.4,,18446,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bc3),MinTemp,18.5,,13497,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bc4),MinTemp,13.2,,18025,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bc5),MinTemp,9.6,,15386,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bc6),MinTemp,9.2,,16013,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bc7),MinTemp,8.1,,3531,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bc8),MinTemp,12.1,,4667,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bc9),MinTemp,9.6,,8791,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bca),MinTemp,14.8,,3463,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bcb),MinTemp,14.8,,15598,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bcc),MinTemp,18.3,,2130,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bcd),MinTemp,13.3,,4890,Completeness,weather_1
ObjectId(5dd05c4af712fc21381f3bce),MinTemp,6.5,,16388,Completeness,weather_1
ObjectId(5dd05c6ef712fc101c1c2067),MinTemp,0.5,0.5,8398,Accuracy,weather_1
ObjectId(5dd05c6ef712fc101c1c2068),MinTemp,15.5,15.5,5367,Accuracy,weather_1
ObjectId(5dd05c6ef712fc101c1c2069),MinTemp,10.6,10.6,6541,Accuracy,weather_1
ObjectId(5dd05c6ef712fc101c1c206a),MinTemp,14,14,1138,Accuracy,weather_1
ObjectId(5dd05c6ef712fc101c1c206b),MinTemp,6.9,6.9,155,Accuracy,weather_1
