ID,Name,Gender,Age,Height,Weight,Team,NOC,Year,Season,Games,City,Sport,Event,Medal
2,A Lamusi,M,23,170,60,China,CHN,2012,Summer,2012 Summer,London,Judo,Judo Men's Extra-Lightweight,NA
22,Andreea Aanei,F,22,170,125,Romania,ROU,2016,Summer,2016 Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,NA
34,Jamale (Djamel-) Aarrass (Ahrass-),M,30,187,76,France,FRA,2012,Summer,2012 Summer,London,Athletics,"Athletics Men's 1,500 metres",NA
48,Abdelhak Aatakni,M,24,NA,64,Morocco,MAR,2012,Summer,2012 Summer,London,Boxing,Boxing Men's Light-Welterweight,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016,Summer,2016 Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016,Summer,2016 Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016,Summer,2016 Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016,Summer,2016 Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016,Summer,2016 Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,ESP,2016,Summer,2016 Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,NA
55,Antonio Abadia Beci,M,26,170,65,Spain,ESP,2016,Summer,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
62,Giovanni Abagnale,M,21,198,90,Italy,ITA,2016,Summer,2016 Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
65,Patimat Abakarova,F,21,165,49,Azerbaijan,AZE,2016,Summer,2016 Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
67,Mariya Vasilyevna Abakumova (-Tarabina),F,26,179,80,Russia,RUS,2012,Summer,2012 Summer,London,Athletics,Athletics Women's Javelin Throw,NA
73,Luc Abalo,M,27,182,86,France,FRA,2012,Summer,2012 Summer,London,Handball,Handball Men's Handball,Gold
73,Luc Abalo,M,31,182,86,France,FRA,2016,Summer,2016 Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
74,Mara Laura Abalo,F,30,182,73,Argentina,ARG,2012,Summer,2012 Summer,London,Rowing,Rowing Women's Coxless Pairs,NA
91,Emanuele Abate,M,27,190,80,Italy,ITA,2012,Summer,2012 Summer,London,Athletics,Athletics Men's 110 metres Hurdles,NA
105,Ilyas Abbadi,M,19,175,75,Algeria,ALG,2012,Summer,2012 Summer,London,Boxing,Boxing Men's Welterweight,NA
105,Ilyas Abbadi,M,23,175,75,Algeria,ALG,2016,Summer,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,NA
110,Abubakar Abbas Abbas,M,20,175,66,Bahrain,BRN,2016,Summer,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,NA
123,Sohail Abbas,M,37,178,80,Pakistan,PAK,2012,Summer,2012 Summer,London,Hockey,Hockey Men's Hockey,NA
127,Shakeel Abbasi,M,28,165,60,Pakistan,PAK,2012,Summer,2012 Summer,London,Hockey,Hockey Men's Hockey,NA
128,Soulmaz Abbasi Azad,F,28,173,60,Iran,IRI,2012,Summer,2012 Summer,London,Rowing,Rowing Women's Single Sculls,NA
132,Simona Abbate,F,28,171,64,Italy,ITA,2012,Summer,2012 Summer,London,Water Polo,Water Polo Women's Water Polo,NA
135,Lois Abbingh,F,23,178,72,Netherlands,NED,2016,Summer,2016 Summer,Rio de Janeiro,Handball,Handball Women's Handball,NA
138,Salwan Jasim Abbood Abbood,M,24,180,104,Iraq,IRQ,2016,Summer,2016 Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,NA
