id,host_name,neighbourhood_group,neighbourhood,last_review
16916510,Tiara,"{""$oid"":""5da3178eee5ffd167d31b15f""}",Morningside Heights,10-07-2018
2539,John,Brooklyn,Kensington,19-10-2018
3647,Elisabeth,Manhattan,Harlem,21-05-2019
2595A,Jennifer,Manhattan,Midtown,21-05-2019
3831,LisaRoxanne,Brooklyn,Clinton Hill,05-07-2019
5099,Chris,Manhattan,Murray Hill,22-06-2019
5022,Laura,Manhattan,East Harlem,19-11-2018
5178,Shunichi,Manhattan,Hell's Kitchen,
5238,Ben,Manhattan,Chinatown,09-06-2019
5203,MaryEllen,Manhattan,Upper West Side,21-07-2017
5295,Lena,Manhattan,eW t idspUeSper,22-06-2019
5441,Kate,Manhattan,Hell's Kitchen,23-06-2019
5803,Laurie,,South Slope,
6848,Allen & Irina,Brooklyn,Williamsburg,29-06-2019
7097,Jane,Brooklyn,Fort Greene,28-06-2019
7322,Doti,Manhattan,Chelsea,01-07-2019
7726,Adam And Charity,Brooklyn,Crown Heights,22-06-2019
7750,Sing,Manhattan,East Harlem,22-06-2019
5121,Garon,Brooklyn,Bedford-Stuyvesant,05-10-2017
6021,Claudio,Manhattan,Upper West Side,05-07-2019
6090,Alina,Manhattan,West Village,31-10-2018
7801,Chaya,Brooklyn,Williamsburg,28-12-2011
8024,Lisel,Brooklyn,Park Slope,01-07-2019
8110,Lisel,Brooklyn,Park Slope,02-07-2019
8700,Claude & Sophie,Manhattan,Inwood,22-06-2019
8490,Nathalie,Brooklyn,Bedford-Stuyvesant,19-06-2019
9357,Tommi,Manhattan,Hell's Kitchen,
9518,Shon,Manhattan,Inwood,15-06-2019
8505,Gregory,Brooklyn,Windsor Terrace,23-06-2019
9704,Teri,Manhattan,Harlem,14-06-2019
8025,Lisel,Brooklyn,Park Slope,01-01-2019
9782,Andrea,Brooklyn,Greenpoint,15-06-2019
9783,Ssameer Or Trip,Manhattan,Harlem,
10452,Angela,Brooklyn,Bedford-Stuyvesant,12-05-2019
9657,Dana,Manhattan,East Village,19-04-2019
9668,Ssameer Or Trip,Manhattan,Harlem,01-06-2019
10962,Laurie,Brooklyn,South Slope,21-06-2019
11452,Vt,Brooklyn,Bedford-Stuyvesant,22-06-2019
12192,Edward,Manhattan,East Village,21-06-2019
11708,Tyrome,Brooklyn,Bushwick,22-06-2019
11943,Harriet,Brooklyn,Flatbush,22-06-2019
12048,Ben,Manhattan,Lower East Side,05-07-2019
12343,Earl,Manhattan,Harlem,13-06-2019
12299,Abdul,Brooklyn,South Slope,27-05-2019
12318,Cyn,Manhattan,Upper West Side,16-06-2019
12627,Rana,Brooklyn,Prospect-Lefferts Gardens,05-06-2019
12937,Orestes,Queens,Long Island City,01-07-2019
12303,Yolande,Brooklyn,Fort Greene,30-09-2018
12940,Adreinne,Brooklyn,Bedford-Stuyvesant,25-05-2019
13050,Jennifer,Brooklyn,Bedford-Stuyvesant,01-01-2017
13394,Alexander,Brooklyn,Fort Greene,17-06-2019
13808,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,16-06-2019
14287,Joya,Manhattan,Upper West Side,07-07-2019
14290,James,Brooklyn,Williamsburg,17-05-2019
14314,Jeanne,Brooklyn,Greenpoint,29-06-2019
14322,Francesca,Manhattan,Kips Bay,25-03-2019
14377,Joanna,Brooklyn,Williamsburg,22-06-2019
14991,Bianca,Manhattan,Lower East Side,18-05-2019
15220,Luiz,Manhattan,Hell's Kitchen,09-06-2019
