DATE,MATRIX,STATE,INSTRUMENT,CAS NUMBER,SUBSTANCE,RESULTS,UNIT,INTERVAL
June 11 2010,Air,Louisiana,EBAM,"{""$oid"":""5da4e731c2b7d8502d2feddf""}",PM10,17,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,79.7,ug/m3,1Hour Avg
June 14 2010,Air,Louisiana,,N/A,VOC,,ppm,1Hour Avg
,Air,,MultiRae,N/A,voc,-1.8,ppm,1Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,75.2,ug/m3,1Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ug/m3,1Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,24.2,ug/m3,1Hour Avg
June 14 2010,Air,,,N/A,VOC,-1.8,ppm,1Hour Avg
June 14 2010,Air,,ebam,N/A,PM10,24.1,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MiniRAE,N/A,VOC,,ppm,1-Hour Avg
May 24 2010,",",Louisiana,MiniRAE,N/A,voc,0.3,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,36.2,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,23.2,ug/m3,1-Hour Avg
June 14 2010,,Louisiana,MultiRae,N/A,voc,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,37.5,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,16,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,1-Hour Avg,N/A,PM10,67.1,ug/m3,ebam
June 14 2010,Air,Louisiana,ebam,N/A,PM10,67.1,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,xyz,N/A,voc,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,45.3,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,xyz,N/A,voc,1.2,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,xyz,N/A,voc,,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,18.3,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,xyz,N/A,H2S,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,xyz,N/A,voc,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,21.6,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,42.4,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,32.3,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,24.1,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,xyz,N/A,voc,,ppm,1-Hour Avg
June 14 2010,Air,,MiniRAE,N/A,VOC,0.2,ppm,1-Hour Avg
June 14 2010,Air,,ebam,N/A,PM10,29.9,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.2,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,43.5,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,xyz,N/A,h2s,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,45.3,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,xyz,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,xyz,N/A,H2S,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,51,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,19.4,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
JuneE1l@h012,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,H2S,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,34.2,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,28.6,,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,98.5,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.1,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,23.4,ug/m3,1-Hour Avg
June 14 2010,Air,,EBAM,N/A,PM10,27.6,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,53.7,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MiniRAE,N/A,VOC,0.2,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,,N/A,VOC,1.1,ppm,1-Hour Avg
1100J24u  en,Air,,EBAM,N/A,PM10,26.4,u_/m3,1-Hour Avg
June 14 2010,Air,,MiniRAE,N/A,VOC,0.2,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,53.7,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,ebam,N/A,PM10,25.2,ug/m3,1-Hour Avg
June 14 2014,Air,Louisiana,MiniRAE,N/A,VOC,0.2,ppm,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,63.6,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,EBAM,N/A,PM10,34.3,ug/m3,1-Hour Avg
June 14 2010,Air,Louisiana,MultiRae,N/A,VOC,0.3,ppm,1-Hour Avg
,,Louisiana,aeiMtaet,N/A,1-Hour Avg,,ppm,H2S
June 14 2010,Air,Louisiana,,N/A,PM10,11.9,ug/m3,1-Hour Avg
