_id,columnName,oldValue,newValue,oid,dimensionName,datasetName,
ObjectId(5da4697171af2a3c98790541),DBA,CHANGLE CUISINE,,5da466827542f65fb34e13a8,Completeness,restaurant_1,
ObjectId(5da4697271af2a3c98790542),DBA,PORSENA,,5da466827542f65fb34e2e71,Completeness,restaurant_1,
ObjectId(5da4697271af2a3c98790543),DBA,WENDY'S,,5da466827542f65fb34e156b,Completeness,restaurant_1,
ObjectId(5da4697271af2a3c98790544),DBA,PATRIZIA'S OF BROOKLYN,,5da466817542f65fb34dea58,Completeness,restaurant_1,
ObjectId(5da4697271af2a3c98790545),DBA,Fiesta Latina Bar & Grill,,5da466817542f65fb34df601,Completeness,restaurant_1,
ObjectId(5da4697271af2a3c98790546),DBA,NEW KING WOK RESTAURANT,,5da466827542f65fb34e16ac,Completeness,restaurant_1,
ObjectId(5da4697271af2a3c98790547),DBA,PURE GREEN,,5da466817542f65fb34e04c4,Completeness,restaurant_1,
ObjectId(5da4697271af2a3c98790548),DBA,SLAINTE,,5da466827542f65fb34e14e5,Completeness,restaurant_1,
ObjectId(5da4697271af2a3c98790549),DBA,LAS CONCHITAS BAKERY,,5da466817542f65fb34de9cf,Completeness,restaurant_1,
ObjectId(5da4697271af2a3c9879054a),DBA,NEW DONG FANG KITCHEN,,5da466827542f65fb34e2542,Completeness,restaurant_1,
ObjectId(5da4697271af2a3c9879054b),DBA,SOFIA TAQUERIA PIZZERIA NAPOLITANA,,5da466807542f65fb34de53e,Completeness,restaurant_1,
ObjectId(5da4697371af2a3c9879054c),DBA,GOLDEN PASTRY SHOP,,5da466817542f65fb34df7ae,Completeness,restaurant_1,
ObjectId(5da4697371af2a3c9879054d),DBA,IHOP,,5da466817542f65fb34dfdd0,Completeness,restaurant_1,
ObjectId(5da4697371af2a3c9879054e),DBA,QUEEN'S PIZZA,,5da466827542f65fb34e2b88,Completeness,restaurant_1,
ObjectId(5da4697371af2a3c9879054f),DBA,THE TAP HOUSE,,5da466827542f65fb34e1092,Completeness,restaurant_1,
