Employee Identifier,Year End Date,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Code,Job,Salaries,Overtime,Other Salaries,Total Salary
37216,31-03-2013,1,Public Protection,FIR,FIR Fire Department,798,"Firefighters - Miscellaneous, Local 798",H003,EMT/Paramedic/Firefighter,123841.28,76853.77,14922.05,215617.1
24950,31-03-2014,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,261,"Laborers, Local 261",7514,General Laborer,61137.6,7341.04,9218.74,77697.38
27447,31-03-2016,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,790,"SEIU - Miscellaneous, Local 1021",1406,Senior Clerk,41192.82,0,390,41582.82
42001,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,253,"Transport Workers - Transit Operators, Local 250-A",9163,Transit Operator,66993.68,26633.83,4494.98,98122.49
22142,31-03-2013,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5201,Junior Engineer,74260.8,0,0,74260.8
56724,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5211,Eng/Arch/Landscape Arch Sr,141778.27,0,0,141778.27
40114,31-03-2015,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,790,"SEIU - Miscellaneous, Local 1021",1929,Parts Storekeeper,51152.5,25724.87,4312.7,81190.07
50362,31-03-2015,1,Public Protection,DAT,DAT District Attorney,790,"SEIU - Miscellaneous, Local 1021",8129,Victim/Witness Investigator 1,27351.96,0,0,27351.96
34064,31-03-2013,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2905,Senior Eligibility Worker,72115.16,0,2122.8,74237.96
49417,31-03-2015,6,General Administration & Finance,REG,REG Elections,790,"SEIU - Miscellaneous, Local 1021",1402,Junior Clerk,391.25,322.78,0,714.03
31980,31-03-2013,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5366,Engineering Associate 2,90220,8067.76,0,98287.76
54470,31-03-2013,4,Community Health,DPH,DPH Public Health,250,"SEIU - Health Workers, Local 1021",2583,Home Health Aide,38041,5442.31,2150.29,45633.6
17035,31-03-2015,6,General Administration & Finance,MYR,MYR Mayor,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1654,Accountant III,97120.6,0,0,97120.6
15032,31-03-2014,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",9924,PS Aide Health Services,19205.1,0,0,19205.1
52991,31-03-2013,4,Community Health,DPH,DPH Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",P103,Special Nurse,11711.79,0,107.15,11818.94
26061,31-03-2013,3,Human Welfare & Neighborhood Development,CHF,CHF Children;Youth & Families,790,"SEIU - Miscellaneous, Local 1021",9774,Sr Community Devl Spc 1,61996.26,0,0,61996.26
4342,31-03-2015,6,General Administration & Finance,TIS,DT GSA - Technology,6,"Electrical Workers, Local 6",7338,Electrical Line Worker,63502.79,19756.54,1229.4,84488.73
48103,31-03-2014,5,Culture & Recreation,LIB,LIB Public Library,790,"SEIU - Miscellaneous, Local 1021",3610,Library Assistant,29281.58,0,0,29281.58
19413,31-03-2015,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q002,Police Officer,1078.5,323.55,28.11,1430.16
8954,31-03-2017,4,Community Health,DPH,DPH Public Health,790,"SEIU - Miscellaneous, Local 1021",1406,Senior Clerk,59080.32,0,1080,60160.32
39797,31-03-2016,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,200,"Transportation Workers, Local 200",9139,Transit Supervisor,83324.03,60873.06,9224.16,153421.25
39343,31-03-2013,1,Public Protection,POL,POL Police,911,Police Officers' Association,Q002,Police Officer,113242.5,23846.64,13796.36,150885.5
20266,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,1,Miscellaneous Unrepresented Employees,9916,Public Svc Aide-Public Works,6511.43,0,748.53,7259.96
19537,31-03-2015,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,535,"SEIU - Human Services, Local 1021",2940,Protective Services Worker,96938.25,0,626.7,97564.95
