id,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2539,2787,Brooklyn,Kensington,Private room,149,1,9,19-10-2018,0.21,6,365
2595,2845,Manhattan,Midtown,Entire home/apt,225,1,45,21-05-2019,0.38,2,355
3647,4632,Manhattan,Harlem,Private room,150,3,0,21-05-2019,3.47,1,365
3831,4869,Brooklyn,Clinton Hill,Entire home/apt,89,1,270,05-07-2019,4.64,1,194
5022,7192,Manhattan,East Harlem,Entire home/apt,80,10,9,19-11-2018,0.1,1,0
5099,7322,Manhattan,Murray Hill,Entire home/apt,200,3,74,22-06-2019,0.59,1,129
5121,7356,Brooklyn,Bedford-Stuyvesant,Private room,60,45,49,05-10-2017,0.4,1,0
5178,8967,Manhattan,Hell's Kitchen,Private room,79,2,430,24-06-2019,3.47,1,220
5203,7490,Manhattan,Upper West Side,Private room,79,2,118,21-07-2017,0.99,1,0
5238,7549,Manhattan,Chinatown,Entire home/apt,150,1,160,09-06-2019,1.33,4,188
5295,7702,Manhattan,Upper West Side,Entire home/apt,135,5,53,22-06-2019,0.43,1,6
5441,7989,Manhattan,Hell's Kitchen,Private room,85,2,188,23-06-2019,1.5,1,39
5803,9744,Brooklyn,South Slope,Private room,89,4,167,24-06-2019,1.34,3,314
6021,11528,Manhattan,Upper West Side,Private room,85,2,113,05-07-2019,0.91,1,333
6090,11975,Manhattan,West Village,Entire home/apt,120,90,27,31-10-2018,0.22,1,0
6848,15991,Brooklyn,Williamsburg,Entire home/apt,140,2,148,29-06-2019,1.2,1,46
7097,17571,Brooklyn,Fort Greene,Entire home/apt,215,2,198,28-06-2019,1.72,1,321
7322,18946,Manhattan,Chelsea,Private room,140,1,260,01-07-2019,2.12,1,12
7726,20950,Brooklyn,Crown Heights,Entire home/apt,99,3,53,22-06-2019,4.44,1,21
7750,17985,Manhattan,East Harlem,Entire home/apt,190,7,0,22-06-2019,3.47,2,249
7801,21207,Brooklyn,Williamsburg,Entire home/apt,299,3,9,28-12-2011,0.07,1,0
8024,22486,Brooklyn,Park Slope,Private room,130,2,130,01-07-2019,1.09,6,347
8025,22486,Brooklyn,Park Slope,Private room,80,1,39,01-01-2019,0.37,6,364
8110,22486,Brooklyn,Park Slope,Private room,110,2,71,02-07-2019,0.61,6,304
8490,25183,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,19-06-2019,0.73,2,233
8505,25326,Brooklyn,Windsor Terrace,Private room,60,1,19,23-06-2019,1.37,2,85
8700,26394,Manhattan,Inwood,Private room,80,4,0,22-06-2019,3.47,1,0
9357,30193,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,13-08-2017,0.49,1,75
9518,31374,Manhattan,Inwood,Private room,44,3,108,15-06-2019,1.11,3,311
9657,21904,Manhattan,East Village,Entire home/apt,180,14,29,19-04-2019,0.24,1,67
9668,32294,Manhattan,Harlem,Private room,50,3,242,01-06-2019,2.04,3,355
9704,32045,Manhattan,Harlem,Private room,52,2,88,14-06-2019,1.42,1,255
9782,32169,Brooklyn,Greenpoint,Private room,55,4,197,15-06-2019,1.65,3,284
9783,32294,Manhattan,Harlem,Private room,50,3,273,01-07-2019,2.37,3,359
10452,35935,Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,12-05-2019,0.66,2,269
10962,9744,Brooklyn,South Slope,Private room,89,4,168,21-06-2019,1.41,3,340
11452,7355,Brooklyn,Bedford-Stuyvesant,Private room,35,60,0,22-06-2019,3.47,1,365
11708,44145,Brooklyn,Bushwick,Entire home/apt,85,2,231,22-06-2019,1.96,2,22
11943,45445,Brooklyn,Flatbush,Private room,150,1,0,22-06-2019,3.47,1,365
12048,7549,Manhattan,Lower East Side,Shared room,40,1,214,05-07-2019,1.81,4,188
12192,46978,Manhattan,East Village,Private room,68,2,245,21-06-2019,2.08,2,96
12299,47610,Brooklyn,South Slope,Entire home/apt,120,3,15,27-05-2019,0.39,1,345
12303,47618,Brooklyn,Fort Greene,Private room,120,7,25,30-09-2018,0.23,1,311
12318,16800,Manhattan,Upper West Side,Private room,135,4,81,16-06-2019,0.69,1,273
12343,47727,Manhattan,Harlem,Entire home/apt,150,7,97,13-06-2019,0.84,1,309
12627,49670,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,05-06-2019,0.49,1,95
12937,50124,Queens,Long Island City,Private room,130,3,248,01-07-2019,2.25,1,215
12940,50148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,25-05-2019,0.52,1,265
13050,50846,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,01-01-2017,0.1,1,0
13394,52335,Brooklyn,Fort Greene,Private room,80,3,135,17-06-2019,1.16,2,192
13808,54275,Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,16-06-2019,1.01,3,251
14287,56094,Manhattan,Upper West Side,Entire home/apt,151,2,73,07-07-2019,0.63,1,302
14290,56104,Brooklyn,Williamsburg,Entire home/apt,228,3,82,17-05-2019,0.7,1,140
14314,56246,Brooklyn,Greenpoint,Entire home/apt,144,2,328,29-06-2019,2.82,1,234
14322,56284,Manhattan,Kips Bay,Entire home/apt,200,7,19,25-03-2019,0.22,1,257
14377,56512,Brooklyn,Williamsburg,Entire home/apt,150,30,105,22-06-2019,0.9,1,30
14991,59023,Manhattan,Lower East Side,Private room,110,5,19,18-05-2019,0.17,1,301
15220,59734,Manhattan,Hell's Kitchen,Private room,69,2,289,09-06-2019,2.49,2,294
15338,32169,Brooklyn,Greenpoint,Private room,49,4,138,04-06-2019,1.19,3,320
15341,60049,Manhattan,SoHo,Entire home/apt,180,30,21,29-06-2019,0.3,1,154
15385,60252,Brooklyn,Williamsburg,Private room,80,2,42,30-06-2019,0.38,1,263
15396,60278,Manhattan,Chelsea,Entire home/apt,375,180,5,03-11-2018,0.12,1,180
15711,61491,Manhattan,Upper East Side,Entire home/apt,250,2,66,30-03-2019,0.57,2,231
16326,63588,Brooklyn,Prospect Heights,Entire home/apt,200,30,143,26-01-2019,1.33,2,297
16338,63613,Brooklyn,Clinton Hill,Private room,55,7,27,30-09-2017,0.23,2,292
16421,63924,Manhattan,Hell's Kitchen,Private room,52,30,191,16-05-2019,1.65,1,191
16458,64056,Brooklyn,Park Slope,Entire home/apt,225,3,4,24-09-2017,0.16,1,0
16580,64442,Manhattan,East Village,Private room,80,1,338,01-07-2019,4.72,2,72
16595,64522,Brooklyn,Williamsburg,Entire home/apt,275,1,148,23-06-2019,1.4,1,362
16821,4396,Manhattan,East Village,Private room,99,1,106,21-06-2019,1.26,2,336
16974,65837,Manhattan,East Harlem,Entire home/apt,225,4,190,23-06-2019,1.64,1,215
17037,66035,Manhattan,East Village,Entire home/apt,230,9,49,14-05-2018,0.43,1,116
17092,66243,Manhattan,Hell's Kitchen,Private room,51,7,23,01-06-2019,0.43,1,88
17693,68428,Manhattan,Washington Heights,Private room,65,2,49,18-06-2019,1.6,2,336
17747,68599,Brooklyn,Clinton Hill,Private room,105,2,105,26-06-2019,0.92,1,304
18127,69829,Manhattan,East Village,Entire home/apt,190,5,21,02-01-2019,0.2,1,224
18152,69942,Manhattan,Upper East Side,Private room,200,1,142,06-07-2019,1.5,1,322
18198,70091,Queens,Woodside,Private room,70,30,25,31-05-2019,0.22,1,324
18590,71512,Brooklyn,Fort Greene,Private room,95,3,143,16-06-2019,1.28,1,132
18728,71876,Manhattan,Chelsea,Private room,150,3,167,28-05-2019,1.65,1,295
18764,72014,Brooklyn,Williamsburg,Private room,145,3,61,22-04-2019,0.54,4,238
19159,73051,Manhattan,Harlem,Entire home/apt,110,31,54,23-03-2019,0.49,1,209
19169,73128,Manhattan,Lower East Side,Entire home/apt,285,5,70,30-06-2019,0.62,1,328
19282,73469,Brooklyn,Flatbush,Entire home/apt,130,6,16,15-06-2019,0.15,1,38
19319,44263,Manhattan,Lower East Side,Private room,94,30,94,08-04-2019,0.84,1,188
19601,74303,Brooklyn,Brooklyn Heights,Entire home/apt,800,1,25,04-08-2016,0.24,1,7
19812,74857,Brooklyn,Williamsburg,Entire home/apt,105,3,61,09-08-2018,0.53,1,272
20299,62407,Manhattan,East Village,Private room,60,3,194,30-06-2019,1.73,1,26
20300,76627,Manhattan,East Village,Private room,50,1,2,14-02-2016,0.05,1,0
20611,72014,Brooklyn,Williamsburg,Private room,85,3,174,22-06-2019,1.54,4,288
20724,961342,Brooklyn,Bushwick,Private room,65,4,24,26-05-2019,0.28,1,317
20734,78460,Brooklyn,Prospect Heights,Entire home/apt,131,4,166,27-06-2019,3.4,1,207
20755,51038,Brooklyn,Clinton Hill,Private room,98,7,16,31-05-2019,0.2,6,185
20853,79070,Brooklyn,Prospect Heights,Entire home/apt,250,7,21,21-05-2019,0.3,1,158
20913,79402,Brooklyn,Williamsburg,Entire home/apt,100,5,168,22-07-2018,1.57,1,0
21293,44145,Brooklyn,Bushwick,Entire home/apt,105,3,118,18-06-2019,1.05,2,9
21456,42032,Manhattan,Upper West Side,Entire home/apt,140,3,81,07-07-2019,0.71,1,198
21644,82685,Manhattan,Harlem,Private room,89,1,1,09-10-2018,0.11,1,365
21794,83257,Manhattan,Chelsea,Private room,98,30,30,01-05-2019,0.27,2,364
22911,87773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,28-10-2018,1.23,2,311
22918,32294,Manhattan,Harlem,Private room,60,3,11,03-01-2019,0.87,3,219
23135,11481,Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,24-06-2019,2.09,3,342
23501,63318,Manhattan,Washington Heights,Private room,65,2,68,01-11-2012,0.6,1,312
23686,93790,Manhattan,West Village,Entire home/apt,500,4,46,18-05-2019,0.55,2,243
24143,97219,Brooklyn,Williamsburg,Private room,101,3,335,29-05-2019,3.02,1,152
24285,97797,Brooklyn,Park Slope,Entire home/apt,220,30,88,02-11-2018,0.79,1,9
25235,87773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,162,28-06-2019,1.46,2,137
25406,105538,Brooklyn,Williamsburg,Entire home/apt,80,30,29,26-05-2018,0.4,1,222
25696,107628,Manhattan,Harlem,Private room,100,2,170,23-06-2019,1.61,1,346
26012,109589,Brooklyn,Gowanus,Entire home/apt,200,30,19,17-03-2017,0.2,1,208
26362,59734,Manhattan,Hell's Kitchen,Private room,59,2,334,16-06-2019,3,2,279
26520,51038,Brooklyn,Clinton Hill,Private room,125,2,19,02-06-2019,0.2,6,250
26559,112793,Manhattan,East Village,Entire home/apt,140,7,12,11-12-2017,0.13,1,164
26785,42273,Brooklyn,South Slope,Entire home/apt,120,30,467,30-12-2018,4.22,2,192
26933,72062,Manhattan,East Village,Entire home/apt,350,2,7,09-08-2017,0.06,4,298
26954,115157,Manhattan,Kips Bay,Entire home/apt,199,5,38,02-12-2015,0.38,1,260
26969,115307,Brooklyn,Williamsburg,Entire home/apt,325,3,324,23-06-2019,3.01,1,107
27006,115560,Manhattan,Upper West Side,Entire home/apt,235,6,27,27-04-2019,0.27,1,199
27385,72062,Manhattan,East Village,Entire home/apt,225,1,115,07-06-2019,1.05,4,299
27531,118971,Brooklyn,South Slope,Private room,99,2,354,20-05-2019,3.2,3,20
27644,119510,Manhattan,Harlem,Entire home/apt,170,2,195,01-07-2019,2.03,1,318
27659,119588,Brooklyn,South Slope,Entire home/apt,400,2,16,30-12-2018,0.24,2,216
27759,119900,Manhattan,Upper West Side,Entire home/apt,170,7,13,26-06-2019,0.12,1,224
27883,120223,Manhattan,East Village,Entire home/apt,100,4,25,10-12-2011,0.23,1,0
28321,65091,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,9,05-10-2018,0.08,1,324
28396,6197784,Brooklyn,Williamsburg,Private room,90,1,9,18-09-2011,0.08,1,245
28907,124352,Manhattan,Upper East Side,Entire home/apt,150,5,21,15-08-2017,0.19,1,189
29012,124797,Manhattan,Washington Heights,Private room,85,15,36,17-08-2017,0.33,1,307
29013,35935,Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,14-05-2019,0.58,2,310
29455,126607,Manhattan,Harlem,Entire home/apt,120,3,155,20-06-2019,1.42,3,213
29628,127608,Brooklyn,Clinton Hill,Private room,89,3,260,03-07-2019,2.35,1,278
29683,125857,Manhattan,East Village,Entire home/apt,185,5,73,25-06-2019,0.66,1,209
30031,129352,Brooklyn,Greenpoint,Private room,50,3,193,20-05-2019,1.86,1,0
30927,120335,Manhattan,Lower East Side,Entire home/apt,105,3,32,14-06-2019,0.29,1,16
31130,117287,Manhattan,Hell's Kitchen,Private room,130,2,50,26-05-2019,0.45,3,234
31555,135619,Manhattan,West Village,Entire home/apt,115,29,26,01-07-2019,0.25,1,12
31902,137292,Brooklyn,Flatlands,Private room,77,2,2,01-01-2019,0.02,1,178
31994,137814,Brooklyn,Clinton Hill,Private room,76,2,426,24-06-2019,3.89,3,275
32023,137974,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,23-06-2019,2.09,2,163
32037,116599,Brooklyn,Clinton Hill,Private room,135,4,84,01-07-2019,0.77,3,365
32100,138579,Brooklyn,Greenpoint,Entire home/apt,250,29,3,30-07-2017,0.03,1,34
32289,139612,Brooklyn,Williamsburg,Entire home/apt,199,3,10,11-06-2018,0.1,1,280
32331,139874,Brooklyn,Cobble Hill,Entire home/apt,140,2,4,24-04-2016,0.04,1,0
32363,140025,Queens,Flushing,Private room,140,2,1,19-09-2011,0.01,1,1
32965,137974,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,20-06-2019,1.72,2,170
32969,142833,Brooklyn,Williamsburg,Entire home/apt,160,3,11,02-07-2019,0.11,1,188
33009,143027,Brooklyn,Williamsburg,Entire home/apt,195,4,240,17-06-2019,2.19,1,214
33014,143048,Manhattan,East Village,Entire home/apt,195,3,30,17-06-2019,0.28,1,248
33223,72014,Brooklyn,Williamsburg,Private room,80,3,200,22-06-2019,1.86,4,262
34760,149929,Brooklyn,Fort Greene,Private room,44,8,27,29-06-2019,1.05,5,280
35526,120291,Manhattan,West Village,Private room,156,4,79,22-06-2019,0.74,1,307
36121,62165,Brooklyn,Prospect Heights,Private room,85,15,9,10-05-2013,0.09,1,339
36133,142684,Brooklyn,Williamsburg,Private room,125,3,155,13-06-2019,1.61,1,1
36442,137432,Brooklyn,Prospect Heights,Entire home/apt,115,15,4,27-08-2018,0.05,1,269
36647,157798,Manhattan,East Harlem,Private room,69,2,34,29-05-2017,0.32,1,10
36703,158284,Manhattan,West Village,Entire home/apt,225,45,134,31-03-2019,1.24,1,312
36934,159370,Brooklyn,Williamsburg,Entire home/apt,125,6,27,27-12-2018,0.25,1,189
38638,92788,Manhattan,Upper East Side,Entire home/apt,219,4,126,26-06-2019,1.16,2,290
38663,165789,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,31-12-2018,0.27,1,230
39267,168417,Manhattan,Upper East Side,Entire home/apt,99,1,234,08-06-2019,2.6,2,164
39282,168525,Brooklyn,Williamsburg,Private room,69,4,202,28-05-2019,1.86,2,53
39593,110506,Queens,Sunnyside,Private room,79,30,28,12-04-2019,0.26,1,126
39704,170510,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,22-06-2019,2.86,2,3
40039,171851,Brooklyn,DUMBO,Private room,250,3,14,25-04-2011,0.13,1,189
40453,174025,Manhattan,Upper East Side,Entire home/apt,250,3,4,23-09-2016,0.08,1,365
41348,180083,Brooklyn,Gowanus,Entire home/apt,250,2,80,06-07-2019,2.17,1,0
41513,181167,Manhattan,Harlem,Entire home/apt,80,3,2,02-11-2015,0.04,1,0
42580,137814,Brooklyn,Clinton Hill,Private room,70,2,294,24-06-2019,3.47,3,336
42729,11481,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,18-06-2019,1.4,3,342
42882,185978,Staten Island,St. George,Private room,70,2,166,13-06-2019,1.66,1,312
43957,177536,Brooklyn,Bushwick,Private room,50,2,47,19-06-2019,0.94,1,37
44096,190409,Bronx,Highbridge,Private room,40,1,219,04-07-2019,2.04,3,353
44161,193360,Brooklyn,Williamsburg,Entire home/apt,150,2,193,06-07-2016,1.78,1,177
44212,72062,Manhattan,East Village,Private room,125,1,84,23-06-2019,0.78,4,310
44221,193722,Manhattan,Financial District,Entire home/apt,196,3,114,20-06-2019,1.06,1,0
44229,181376,Brooklyn,Fort Greene,Private room,110,2,213,24-06-2019,2,2,321
44288,193637,Manhattan,West Village,Entire home/apt,170,3,86,01-06-2019,0.8,1,246
44506,126607,Manhattan,Harlem,Entire home/apt,165,3,80,26-05-2019,0.75,3,231
